O15119	O15119
P01011	P01011
P52926	P52926
Q14188	Q14188
Q14188	Q9FNY2
Q16594	Q16594
Q7Z591	Q7Z591
Q96AV8	Q96AV8
Q96LI6	Q96LI6
Q9BVI0	Q9BVI0
Q9UKW6	Q9UKW6
Q9ULV5	Q9ULV5
P14316	P14316
P14316	A0A6P7JQU2
Q14814	Q14814
Q14814	Q02080
Q14814	Q03414
Q15306	Q15306
Q15306	A0A8V0YL45
Q15306	Q02556
Q15554	Q15554
Q53H47	Q53H47
Q53H47	A0A8S4G269
Q5SXM2	Q5SXM2
Q92985	Q92985
Q9UBD0	Q9UBD0
Q9Y6X0	Q9Y6X0
P11831	P11831
P15863	P15863
P22670	P22670
P23497	P23497
P28324	P28324
P54274	P54274
Q14781	Q14781
Q49A26	Q49A26
Q6NSI4	Q6NSI4
O15226	O15226
P23511	P23511
Q14527	Q14527
Q15723	Q15723
Q16254	Q16254
Q2KHR2	Q2KHR2
Q9H3D4	Q9H3D4
Q9H3D4	Q00366
P41161	P41161
Q06546	Q06546
Q12968	Q12968
Q12968	Q60591
Q8HWS3	Q8HWS3
Q8HWS3	Q33E94
Q99607	Q99607
Q99607	P32519
Q9H147	Q9H147
Q9HBE1	Q9HBE1
A8MQY1	A8MQY1
D3ZGB1	D3ZGB1
D3ZGB1	A0A1A8RL12
F4IRB4	F4IRB4
P03023	P03023
P04993	P04993
P0CY06	P0CY06
P11938	P11938
P21538	P21538
P21538	Q05950
P22813	P22813
P23874	P23874
P40059	P40059
P41969	P41969
P47043	P47043
P53566	P53566
P55965	P55965
P55965	Q22292
P55965	D4QGC4
P97360	P97360
P97360	Q9Y603
Q09555	Q09555
Q12151	Q12151
Q80X44	Q80X44
Q84WU6	Q84WU6
Q84WU6	Q653H7
Q8VZI9	Q8VZI9
Q9FWX2	Q9FWX2
Q9LJE2	Q9LJE2
Q9LVS0	Q9LVS0
Q9LVS0	Q7XC51
Q9LVS0	Q9FKF9
Q9LVS0	Q2V9B0
F1QZ88	F1QZ88
F1QZ88	Q8LSZ4
F1QZ88	Q5RIX9
O97101	O97101
P04197	P04197
P08394	P08394
P08956	P08956
P19541	P19541
P23758	P23758
P25357	P25357
P25502	P25502
P35201	P35201
P38128	P38128
P38960	P38960
Q6K5K2	Q6K5K2
Q7XLP4	Q7XLP4
Q7XLP4	Q9LHY9
Q84R27	Q84R27
Q851V5	Q851V5
Q851V5	Q851V1
Q8RV83	Q8RV83
Q8RV83	Q6DSS2
Q8RV83	Q9SJ98
Q8S2E6	Q8S2E6
Q9STF1	Q9STF1
Q9SZ05	Q9SZ05
Q9SZ05	Q9M8K2
Q9TZL0	Q9TZL0
Q9XIP5	Q9XIP5
Q9ZR14	Q9ZR14
Q9ZR14	Q9ZR15
A0A0F7GH49	A0A0F7GH49
A0A142I723	A0A142I723
A0A142I723	A0A017SE85
A0A3T0QHS4	A0A3T0QHS4
A0A481WNP6	A0A481WNP6
A0A8J9RZ21	A0A8J9RZ21
A1D8J1	A1D8J1
A1D8J1	G3KLH2
A4XIN2	A4XIN2
A7TE38	A7TE38
A7TGQ2	A7TGQ2
A7TQK0	A7TQK0
A8R3S7	A8R3S7
B0R717	B0R717
B2W978	B2W978
B7VJS5	B7VJS5
C5DGQ7	C5DGQ7
C6A3Q6	C6A3Q6
D2PPN2	D2PPN2
L7WMF9	L7WMF9
M3APK0	M3APK0
O14130	O14130
O30919	O30919
O53333	O53333
O57880	O57880
O59780	O59780
O74915	O74915
O83149	O83149
O84905	O84905
P0A043	P0A043
P0A2Q7	P0A2Q7
P0CAV4	P0CAV4
P13870	P13870
P13991	P13991
P15025	P15025
P18809	P18809
P19471	P19471
P21940	P21940
P22404	P22404
P22876	P22876
P26488	P26488
P26488	Q01980
P27488	P27488
P37078	P37078
P37938	P37938
P37938	P37937
P49412	P49412
P51007	P51007
P51342	P51342
P55449	P55449
P55449	A0A1H0T7Z3
P55449	A0A368YNR8
P55629	P55629
P69702	P69702
Q00400	Q00400
Q01108	Q01108
Q08142	Q08142
Q0CS89	Q0CS89
Q0K846	Q0K846
Q0UI05	Q0UI05
Q2G1T7	Q2G1T7
Q2HBN3	Q2HBN3
Q2T4M4	Q2T4M4
